Title,Authors,Price,Stars,Number of Reviews,Published Date,Country,Currency
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps  ",[],51.0,,,2020-10-27,Australia,AU Dollars
Deep Learning  ,[],194.0,,,2016-11-18,Australia,AU Dollars
Machine Learning for Kids: A Project-Based Introduction to Artificial Intelligence  ,[],33.0,,,2021-03-30,Australia,AU Dollars
"Machine Learning Refined: Foundations, Algorithms, and Applications  ",[],81.0,,,2020-01-09,Australia,AU Dollars
"Machine Learning for Beginners: Absolute Beginners Guide, Learn Machine Learning and Artificial Intelligence from Scratch (Python, Machine Learning Book 2)  ",[],0.0,,,2018-12-31,Australia,AU Dollars
Building Machine Learning Pipelines: Automating Model Life Cycles with Tensorflow  ,[],68.0,,,2020-07-28,Australia,AU Dollars
Machine Learning For Dummies  ,[],41.0,,,2021-01-22,Australia,AU Dollars
Introduction to Machine Learning with Python: A Guide for Data Scientists  ,[],50.0,,,2016-10-07,Australia,AU Dollars
Reliable Machine Learning: Applying SRE Principles to ML in Production  ,[],100.0,,,2022-09-30,Australia,AU Dollars
Gaussian Processes for Machine Learning  ,[],94.0,,,2005-11-23,Australia,AU Dollars
"Fundamentals of Machine Learning for Predictive Data Analytics, second edition: Algorithms, Worked Examples, and Case Studies  ",[],84.0,,,2020-10-20,Australia,AU Dollars
Machine Learning: An Applied Mathematics Introduction  ,[],28.0,,,2019-05-20,Australia,AU Dollars
Automated Machine Learning in Action  ,[],,,,2022-06-07,Australia,
"Machine Learning: An Essential Guide to Machine Learning for Beginners Who Want to Understand Applications, Artificial Intelligence, Data Mining, Big Data and More  ",[],0.0,,,2018-06-23,Australia,AU Dollars
Data Science and Machine Learning: Mathematical and Statistical Methods  ,[],151.0,,,2019-11-22,Australia,AU Dollars
Understanding Machine Learning: From Theory to Algorithms  ,[],76.0,,,2014-05-19,Australia,AU Dollars
Machine Learning with Amazon SageMaker Cookbook: 80 proven recipes for data scientists and developers to perform machine learning experiments and deployments  ,[],57.0,,,2021-10-29,Australia,AU Dollars
"Natural Language Processing with Transformers, Revised Edition  ",[],51.0,,,2022-05-26,Australia,AU Dollars
Lecture Notes for Machine Learning and Data Science Courses  ,[],0.0,,,2023-09-25,Australia,AU Dollars
"Data Science: A Comprehensive Guide to Data Science, Data Analytics, Data Mining, Artificial Intelligence, Machine Learning, and Big Data  ",[],0.0,,,2020-02-27,Australia,AU Dollars
"Machine Learning Security Principles: Keep data, networks, users, and applications safe from prying eyes  ",[],82.0,,,2022-12-30,Australia,AU Dollars
MACHINE LEARNING AND BIG DATA HADOOP MADE SIMPLE - 2 BOOKS IN 1: A BEGINNER'S GUIDE TO PROGRAMMING  ,[],0.0,,,2023-09-07,Australia,AU Dollars
3D Recording and Interpretation for Maritime Archaeology (Coastal Research Library Book 31)  ,[],0.0,,,2019-03-06,Australia,AU Dollars
"Mastering Azure Machine Learning: Execute large-scale end-to-end machine learning with Azure, 2nd Edition  ",[],71.0,,,2022-05-10,Australia,AU Dollars
"Machine Learning and Knowledge Discovery in Databases: Applied Data Science and Demo Track: European Conference, ECML PKDD 2023, Turin, Italy, September ... Notes in Computer Science Book 14175)  ",[],84.0,,,2023-09-16,Australia,AU Dollars
"Machine Learning and Knowledge Discovery in Databases: Research Track: European Conference, ECML PKDD 2023, Turin, Italy, September 18–22, 2023, Proceedings, ... Notes in Computer Science Book 14173)  ",[],92.0,,,2023-09-17,Australia,AU Dollars
Python Machine Learning for Beginners: Unlocking the Power of Data. A Beginner's Guide to Machine Learning with Python  ,[],0.0,,,2023-08-11,Australia,AU Dollars
A Quick Guide to Card Games with Unity: Get Started with Card Games in less than 60 minutes  ,[],2.0,,,2017-11-09,Australia,AU Dollars
Artificial Intelligence and Machine Learning: An Intelligent Perspective of Emerging Technologies (Innovations in Health Informatics and Healthcare)  ,[],66.0,,,2023-12-07,Australia,AU Dollars
Neural Networks and Deep Learning: A Textbook  ,[],59.0,,,2018-09-13,Australia,AU Dollars
Machine Learning with Microsoft Technologies: Selecting the Right Architecture and Tools for Your Project  ,[],41.0,,,2019-06-13,Australia,AU Dollars
"Machine Learning: The Most Complete Guide for Beginners to Mastering Deep Learning, Artificial Intelligence and Data Science with Python. This Book Includes: Python Machine Learning and Data Science.  ",[],,,,2020-11-14,Australia,
Machine Learning: a Concise Introduction (Wiley Series in Probability and Statistics Book 285)  ,[],162.0,,,2018-03-15,Australia,AU Dollars
Financial Modeling Using Quantum Computing: Design and manage quantum machine learning solutions for financial analysis and decision making  ,[],39.0,,,2023-05-31,Australia,AU Dollars
Artificial Intelligence and Machine Learning in Project Management: A New Era of Transformation: Transforming Project Execution: Harnessing AI and ML to Revolutionize the Way We Manage Projects  ,[],0.0,,,2023-04-10,Australia,AU Dollars
Python: Advanced Guide to Artificial Intelligence: Expert machine learning systems and intelligent agents using Python  ,[],105.0,,,2018-12-21,Australia,AU Dollars
How to Start a Blog Today: A Free Step-by-Step Beginner’s Guide to Create a Blog in 20 minutes  ,[],0.0,,,2017-08-20,Australia,AU Dollars
Machine Learning: Step-by-Step Guide To Implement Machine Learning Algorithms with Python (Artificial Intelligence Book 2)  ,[],0.0,,,2018-05-21,Australia,AU Dollars
Statistically Sound Machine Learning for Automated Trading of Financial Instruments: Developing Predictive-Model Based Trading Systems Using TSSB  ,[],0.0,,,2017-03-21,Australia,AU Dollars
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn and Tensorflow (Step-by-Step Tutorial For Beginners Book 1)  ",[],0.0,,,2019-04-18,Australia,AU Dollars
"Machine Learning Survival Models for Economics Analysis: Inventory, Evaluation Metrics, and Empirical Analysis  ",[],94.0,,,2023-10-17,Australia,AU Dollars
"Machine Learning: This book includes Machine Learning for Beginners,Artificial Intelligence and Machine Learning for business, Networking for beginners  ",[],57.0,,,2019-08-21,Australia,AU Dollars
MACHINE LEARNING  ,[],,,,2023-05-23,Australia,
Machine Learning on Kubernetes: A practical handbook for building and using a complete open source machine learning platform on Kubernetes  ,[],84.0,,,2022-06-24,Australia,AU Dollars
Combating Women's Health Issues with Machine Learning: Challenges and Solutions (Biomedical and Robotics Healthcare)  ,[],76.0,,,2023-10-23,Australia,AU Dollars
MACHINE LEARNING TECHNIQUES. APPRENTISSAGE SUPERVISÉ AVEC R (French Edition)  ,[],72.0,,,2022-10-15,Australia,AU Dollars
The Hitchhiker's Guide to Machine Learning Algorithms: 100+ Machine Learning Algorithms Explained So Simply Even a Human Can Understand (The Hitchhiker's Guide to Success)  ,[],0.0,,,2023-07-25,Australia,AU Dollars
MACHINE LEARNING TECNICHE. APPRENDIMENTO SUPERVISIONATO CON R (Italian Edition)  ,[],72.0,,,2022-10-15,Australia,AU Dollars
Human-Machine Learning: Using Feedback to Design Systems That Serve Humanity  ,[],60.0,,,2023-10-19,Australia,AU Dollars
Basics of machine learning  ,[],0.0,,,2022-08-07,Australia,AU Dollars
Graph-Powered Machine Learning  ,[],121.0,,,2023-09-14,Australia,AU Dollars
"Bots & Bytes: An Introduction to Artificial Intelligence, ChatGPT, and Machine Learning  ",[],0.0,,,2023-09-16,Australia,AU Dollars
Machine Learning in Trading: Step by step implementation of Machine Learning models  ,[],0.0,,,2021-09-29,Australia,AU Dollars
Machine Learning Pocket Reference: Working with Structured Data in Python  ,[],31.0,,,2019-09-10,Australia,AU Dollars
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines  ",[],60.0,,,2021-04-23,Australia,AU Dollars
Ultimate Step by Step Guide to Deep Learning Using Python: Artificial Intelligence and Neural Network Concepts Explained in Simple Terms (Ultimate Step by Step Guide to Machine Learning Book 2)  ,[],0.0,,,2020-07-18,Australia,AU Dollars
Data Mining: Practical Machine Learning Tools and Techniques (Morgan Kaufmann Series in Data Management Systems)  ,[],79.0,,,2016-10-01,Australia,AU Dollars
Machine Learning for Absolute Beginners: A Plain English Introduction (First Edition)  ,[],3.0,,,2017-02-18,Australia,AU Dollars
Machine Learning Meets Quantum Physics (Lecture Notes in Physics Book 968)  ,[],109.0,,,2020-06-03,Australia,AU Dollars
Feature Engineering for Machine Learning: Principles and Techniques for Data Scientists  ,[],75.0,,,2018-03-23,Australia,AU Dollars
The AI Product Manager's Handbook: Develop a product that takes advantage of machine learning to solve AI problems  ,[],74.0,,,2023-02-28,Australia,AU Dollars
Machine Learning for Text  ,[],76.0,,,2023-05-06,Australia,AU Dollars
Exploring the Frontiers of Machine Learning: The Latest Innovations (Series of Layman pocket learning for knowledge seekers)  ,[],3.0,,,2023-10-16,Australia,AU Dollars
"Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG, Tech Startups, & Wall Street  ",[],,,,2021-08-16,Australia,
"Machine Learning: The Ultimate Guide for Beginners and Starters (Artificial Intelligence, Algorithms, Data Science, Machine Learning For Beginners)  ",[],0.0,,,2017-07-01,Australia,AU Dollars
